tf_container  | Epoch 25 Batch 1200 Loss 0.3838
tf_container  | Epoch 25 Batch 1300 Loss 0.3697
tf_container  | Epoch 25 Batch 1400 Loss 0.3676
tf_container  | Epoch 25 Loss 0.371442
tf_container  | Time taken for 1 epoch 370.14370942115784 sec
tf_container  |
tf_container  | Epoch 26 Batch 0 Loss 0.3956
tf_container  | Epoch 26 Batch 100 Loss 0.4165
tf_container  | Epoch 26 Batch 200 Loss 0.3832
tf_container  | Epoch 26 Batch 300 Loss 0.3835
tf_container  | Epoch 26 Batch 400 Loss 0.3857
tf_container  | Epoch 26 Batch 500 Loss 0.3487
tf_container  | Epoch 26 Batch 600 Loss 0.3648
tf_container  | Epoch 26 Batch 700 Loss 0.3700
tf_container  | Epoch 26 Batch 800 Loss 0.3528
tf_container  | Epoch 26 Batch 900 Loss 0.3420
tf_container  | Epoch 26 Batch 1000 Loss 0.3615
tf_container  | Epoch 26 Batch 1100 Loss 0.3777
tf_container  | Epoch 26 Batch 1200 Loss 0.3765
tf_container  | Epoch 26 Batch 1300 Loss 0.3704
tf_container  | Epoch 26 Batch 1400 Loss 0.3571
tf_container  | Epoch 26 Loss 0.367065
tf_container  | Time taken for 1 epoch 369.2723536491394 sec
tf_container  |
tf_container  | Epoch 27 Batch 0 Loss 0.3836
tf_container  | Epoch 27 Batch 100 Loss 0.4071
tf_container  | Epoch 27 Batch 200 Loss 0.3732
tf_container  | Epoch 27 Batch 300 Loss 0.3720
tf_container  | Epoch 27 Batch 400 Loss 0.3890
tf_container  | Epoch 27 Batch 500 Loss 0.3394
tf_container  | Epoch 27 Batch 600 Loss 0.3653
tf_container  | Epoch 27 Batch 700 Loss 0.3680
tf_container  | Epoch 27 Batch 800 Loss 0.3534
tf_container  | Epoch 27 Batch 900 Loss 0.3400
tf_container  | Epoch 27 Batch 1000 Loss 0.3694
tf_container  | Epoch 27 Batch 1100 Loss 0.3758
tf_container  | Epoch 27 Batch 1200 Loss 0.3959
tf_container  | Epoch 27 Batch 1300 Loss 0.3738
tf_container  | Epoch 27 Batch 1400 Loss 0.3544
tf_container  | Epoch 27 Loss 0.363646
tf_container  | Time taken for 1 epoch 369.1578507423401 sec
tf_container  |
tf_container  | Epoch 28 Batch 0 Loss 0.3834
tf_container  | Epoch 28 Batch 100 Loss 0.3999
tf_container  | Epoch 28 Batch 200 Loss 0.3730
tf_container  | Epoch 28 Batch 300 Loss 0.3769
tf_container  | Epoch 28 Batch 400 Loss 0.3731
tf_container  | Epoch 28 Batch 500 Loss 0.3423
tf_container  | Epoch 28 Batch 600 Loss 0.3613
tf_container  | Epoch 28 Batch 700 Loss 0.3726
tf_container  | Epoch 28 Batch 800 Loss 0.3551
tf_container  | Epoch 28 Batch 900 Loss 0.3306
tf_container  | Epoch 28 Batch 1000 Loss 0.3553
tf_container  | Epoch 28 Batch 1100 Loss 0.3701
tf_container  | Epoch 28 Batch 1200 Loss 0.3756
tf_container  | Epoch 28 Batch 1300 Loss 0.3519
